alpha,beta,max_n,tax,q,n,value
1,1.0,95937.0,0.286,4.971146108714566,52040.83377600003,-3529124423.5134563
1,2.0,95937.0,0.286,4.978896175341816,52040.83377600003,-7061133704.582404
1,3.0,95937.0,0.286,4.958848222563612,52040.83377600003,-10593142986.401278
1,4.0,95937.0,0.286,5.083794536544215,52040.83377600003,-14125152270.036333
1,5.0,95937.0,0.286,5.250000077487751,52040.83377600003,-17657161575.673225
1,6.0,95937.0,0.286,4.7187500621516385,52040.83377600003,-21189170866.799488
1,7.0,95937.0,0.286,5.031794100321123,52040.83377600003,-24721180111.069202
1,8.0,95937.0,0.286,4.63333339957777,52040.83377600003,-28253189456.21627
1,9.0,95937.0,0.286,4.983333405959112,52040.83377600003,-31785198673.22992
1,10.0,95937.0,0.286,4.989816751043166,52040.83377600003,-35317207954.39667
1,11.0,95937.0,0.286,4.750000060774707,52040.83377600003,-38849217265.05071
1,12.0,95937.0,0.286,5.12500008022261,52040.83377600003,-42381226523.84625
1,13.0,95937.0,0.286,4.750000060774708,52040.83377600003,-45913235827.543335
1,14.0,95937.0,0.286,4.177777839578904,52040.83377600003,-49445245423.436615
1,15.0,95937.0,0.286,4.750000060774709,52040.83377600003,-52977254390.035965
1,16.0,95937.0,0.286,4.995201041424539,52040.83377600003,-56509263641.83772
1,17.0,95937.0,0.286,4.333333387355295,52040.83377600003,-60041273144.59104
1,18.0,95937.0,0.286,5.125000080222618,52040.83377600003,-63573282211.32413
1,19.0,95937.0,0.286,4.928571496219476,52040.83377600003,-67105291487.91393
1,20.0,95937.0,0.286,4.600000087515586,52040.83377600003,-70637300843.749
1,21.0,95937.0,0.286,4.888888951914514,52040.83377600003,-74169310053.76999
1,22.0,95937.0,0.286,5.000000072929661,52040.83377600003,-77701319329.3051
1,23.0,95937.0,0.286,5.000000072929655,52040.83377600003,-81233328610.5514
1,24.0,95937.0,0.286,5.000000072929656,52040.83377600003,-84765337891.79773
1,25.0,95937.0,0.286,4.88888895191451,52040.83377600003,-88297347178.75526
1,26.0,95937.0,0.286,4.6000000875155775,52040.83377600003,-91829356531.22688
1,27.0,95937.0,0.286,5.000000072929658,52040.83377600003,-95361365735.53667
1,28.0,95937.0,0.286,5.000000072929655,52040.83377600003,-98893375016.78299
1,29.0,95937.0,0.286,4.6000000875155775,52040.83377600003,-102425384374.96582
1,30.0,95937.0,0.286,4.88888895191451,52040.83377600003,-105957393584.98682
1,31.0,95937.0,0.286,5.000000072929655,52040.83377600003,-109489402860.52191
1,32.0,95937.0,0.286,5.000000072929661,52040.83377600003,-113021412141.76823
1,33.0,95937.0,0.286,5.000000072929655,52040.83377600003,-116553421423.01456
1,34.0,95937.0,0.286,4.888888951914505,52040.83377600003,-120085430709.97208
1,35.0,95937.0,0.286,5.000000072929661,52040.83377600003,-123617439985.50717
1,36.0,95937.0,0.286,5.000000072929656,52040.83377600003,-127149449266.75348
1,37.0,95937.0,0.286,5.000000072929661,52040.83377600003,-130681458547.9998
1,38.0,95937.0,0.286,3.6666667044820436,52040.83377600003,-134213468799.1002
1,39.0,95937.0,0.286,3.0000000243098874,52040.83377600003,-137745479501.27698
1,40.0,95937.0,0.286,7.0000000729296605,52040.83377600003,-141277487794.50482
1,41.0,95937.0,0.286,5.000000048619767,52040.83377600003,-144809495672.98508
1,42.0,95937.0,0.286,5.000000048619774,52040.83377600003,-148341504954.23138
1,43.0,95937.0,0.286,2.000000012154944,52040.83377600003,-151873520415.03107
1,44.0,95937.0,0.286,5.000000048619768,52040.83377600003,-155405523516.72403
1,45.0,95937.0,0.286,5.000000072929617,52040.83377600003,-158937532797.97034
1,46.0,95937.0,0.286,4.738408894771199,52040.83377600003,-162469542111.51642
1,47.0,95937.0,0.286,5.000000048619767,52040.83377600003,-166001551360.2866295
1,48.0,95937.0,0.286,3.0000000243098874,52040.83377600003,-169533563032.4938
1,49.0,95937.0,0.286,7.0000000729296605,52040.83377600003,-173065571325.72165
1,50.0,95937.0,0.286,5.000000048619774,52040.83377600003,-176597579204.2019
1,51.0,95937.0,0.286,5.000000048619774,52040.83377600003,-180129588485.4482
1,52.0,95937.0,0.286,5.0000000486197695,52040.83377600003,-183661597766.69452
1,53.0,95937.0,0.286,5.000000048619778,52040.83377600003,-187193607047.94086
1,54.0,95937.0,0.286,5.0000000729296215,52040.83377600003,-190725616329.18716
1,55.0,95937.0,0.286,4.738408894771203,52040.83377600003,-194257625642.73325
1,56.0,95937.0,0.286,5.000000048619774,52040.83377600003,-197789634891.67978
1,57.0,95937.0,0.286,3.000000024309884,52040.83377600003,-201321646563.71063
1,58.0,95937.0,0.286,7.0000000729296605,52040.83377600003,-204853654856.93848
1,59.0,95937.0,0.286,5.000000048619774,52040.83377600003,-208385662735.4187
1,60.0,95937.0,0.286,5.000000048619774,52040.83377600003,-211917672016.66504
1,61.0,95937.0,0.286,5.000000048619778,52040.83377600003,-215449681297.91135
1,62.0,95937.0,0.286,5.0000000486197695,52040.83377600003,-218981690579.15765
1,63.0,95937.0,0.286,4.738408894771203,52040.83377600003,-222513699892.70377
1,64.0,95937.0,0.286,5.000000072929648,52040.83377600003,-226045709141.65027
1,65.0,95937.0,0.286,5.0000000486197695,52040.83377600003,-229577718422.89658
1,66.0,95937.0,0.286,3.0000000243098874,52040.83377600003,-233109730094.92746
1,67.0,95937.0,0.286,7.00000007292965,52040.83377600003,-236641738388.1553
1,68.0,95937.0,0.286,5.000000048619774,52040.83377600003,-240173746266.63553
1,69.0,95937.0,0.286,5.000000048619774,52040.83377600003,-243705755547.88187
1,70.0,95937.0,0.286,5.000000048619778,52040.83377600003,-247237764829.12817
1,71.0,95937.0,0.286,5.000000048619778,52040.83377600003,-250769774110.37448
1,72.0,95937.0,0.286,5.000000072929617,52040.83377600003,-254301783391.6208
1,73.0,95937.0,0.286,5.000000072929639,52040.83377600003,-257833792672.8671
1,74.0,95937.0,0.286,5.000000048619774,52040.83377600003,-261365801954.1134
1,75.0,95937.0,0.286,5.0,52040.83377600003,-264897811235.35974
1,76.0,95937.0,0.286,5.0,52040.83377600003,-268429820516.60605
1,77.0,95937.0,0.286,5.0,52040.83377600003,-271961829797.85236
1,78.0,95937.0,0.286,5.0,52040.83377600003,-275493839079.09863
1,79.0,95937.0,0.286,5.0,52040.83377600003,-279025848360.345
1,80.0,95937.0,0.286,5.0,52040.83377600003,-282557857641.59125
1,81.0,95937.0,0.286,5.0,52040.83377600003,-286089866922.83765
1,82.0,95937.0,0.286,5.0,52040.83377600003,-289621876204.0839
1,83.0,95937.0,0.286,5.0,52040.83377600003,-293153885485.33026
1,84.0,95937.0,0.286,5.0,52040.83377600003,-296685894766.57654
1,85.0,95937.0,0.286,5.0,52040.83377600003,-300217904047.8229
1,86.0,95937.0,0.286,5.0,52040.83377600003,-303749913329.06915
1,87.0,95937.0,0.286,5.0,52040.83377600003,-307281922610.3155
1,88.0,95937.0,0.286,5.0,52040.83377600003,-310813931891.5618
1,89.0,95937.0,0.286,5.0,52040.83377600003,-314345941172.8081
1,90.0,95937.0,0.286,5.0,52040.83377600003,-317877950454.05444
1,91.0,95937.0,0.286,5.0,52040.83377600003,-321409959735.3007
1,92.0,95937.0,0.286,5.0,52040.83377600003,-324941969016.54706
1,93.0,95937.0,0.286,5.0,52040.83377600003,-328473978297.7934
1,94.0,95937.0,0.286,5.0,52040.83377600003,-332005987579.03973
1,95.0,95937.0,0.286,5.0,52040.83377600003,-335537996860.286
1,96.0,95937.0,0.286,5.0,52040.83377600003,-339070006141.5323
1,97.0,95937.0,0.286,5.0,52040.83377600003,-342602015422.7786
1,98.0,95937.0,0.286,5.0,52040.83377600003,-346134024704.0249
1,99.0,95937.0,0.286,5.0,52040.83377600003,-349666033985.27124
1,100.0,95937.0,0.286,5.0,52040.83377600003,-353198043266.5176
