Year,GDP,Tourism_Numbers,Pande_Impact,Tourist_Ratio
2014,2524869000.0,961000.0,0.0,0.24054792545672665
2015,2435418000.0,983000.0,0.0,0.2550921443464736
2016,2437578000.0,1015000.0,0.0,0.26316286083973517
2017,2511152000.0,1072000.0,0.0,0.2697980847037535
2018,2467392000.0,1151000.0,0.0,0.29481817238606595
2019,2414435000.0,1306000.0,0.0,0.34185720468763914
2020,2292657000.0,1259667.0,0.2,0.34724319599486536
2021,2421944000.0,1213333.0,1.0,0.31661609682139635
2022,2423728000.0,1167000.0,0.8,0.30430147277252234
2023,2387533000.0,1670000.0,0.0,0.44206299975749025
2024,2434559597.949046,,,
2025,2524102310.504353,,,
2026,2574500351.400993,,,
2027,2660938969.6988235,,,
2028,2714194956.3798265,,,
2029,2798002258.284256,,,
